carre,annee,nb_passage,espece,nombre
1,2014,1,AEGCAU,3
1,2014,1,ALAARV,4
1,2014,1,AYTFUL,2
1,2014,1,CARCAR,4
1,2014,1,COLLIV,11
1,2014,1,COLPAL,1
1,2014,1,CORRAX,4
1,2014,1,CUCCAN,5
1,2014,1,EMBHOR,1
1,2014,1,FRICOE,3
1,2014,1,HIRRUS,2
1,2014,1,JYNTOR,1
1,2014,1,LULARB,3
1,2014,1,LUSMEG,3
1,2014,1,OENOEN,1
1,2014,1,PARMAJ,5
1,2014,1,PASDOM,3
1,2014,1,PHOOCH,2
1,2014,1,PHYCOL,2
1,2014,1,PICPIC,1
1,2014,1,PICVIR,1
1,2014,1,SERSER,1
1,2014,1,SPESPE,3
1,2014,1,STUVUL,3
1,2014,1,SYLATR,3
1,2014,1,SYLCOM,1
1,2014,1,TURMER,2
1,2014,2,ALAARV,5
1,2014,2,APUAPU,7
1,2014,2,CAPCAP,1
1,2014,2,CARCAR,2
1,2014,2,CARCHL,1
1,2014,2,CERBRA,3
1,2014,2,COLLIV,3
1,2014,2,COLPAL,2
1,2014,2,CORCOR,2
1,2014,2,CORRAX,1
1,2014,2,COTCOT,1
1,2014,2,CUCCAN,10
1,2014,2,EMBCIR,2
1,2014,2,FRICOE,3
1,2014,2,GALCHL,1
1,2014,2,GARGLA,5
1,2014,2,GRIVES,3
1,2014,2,LULARB,7
1,2014,2,LUSMEG,16
1,2014,2,MILCAL,3
1,2014,2,PARCAE,6
1,2014,2,PASDOM,24
1,2014,2,PHACOL,1
1,2014,2,PHOOCH,1
1,2014,2,PICPIC,2
1,2014,2,PICVIR,1
1,2014,2,SAXTOR,1
1,2014,2,SERSER,5
1,2014,2,SPESPE,2
1,2014,2,STRDEC,6
1,2014,2,STRTUR,5
1,2014,2,SYLATR,7
1,2014,2,SYLCOM,1
1,2014,2,SYLCON,1
1,2014,2,TURMER,10
1,2015,1,ALAARV,3
1,2015,1,AYTFUL,2
1,2015,1,CARCAR,2
1,2015,1,CARCHL,2
1,2015,1,COLPAL,4
1,2015,1,CORRAX,4
1,2015,1,CUCCAN,2
1,2015,1,DRYMAR,1
1,2015,1,EMBCIR,1
1,2015,1,ERIRUB,2
1,2015,1,FRICOE,3
1,2015,1,GARGLA,4
1,2015,1,HIRRUS,5
1,2015,1,LEPCAP,1
1,2015,1,LUSMEG,1
1,2015,1,PARCAE,1
1,2015,1,PARCRI,2
1,2015,1,PARMAJ,9
1,2015,1,PHOOCH,3
1,2015,1,PHYBON,3
1,2015,1,PHYCOL,6
1,2015,1,PICVIR,4
1,2015,1,SPESPE,3
1,2015,1,STRDEC,2
1,2015,1,STUVUL,1
1,2015,1,SYLATR,1
1,2015,1,SYLCAN,2
1,2015,1,SYLCOM,2
1,2015,1,TROTRO,1
1,2015,1,TURVIS,1
1,2015,1,UPUEPO,2
1,2015,2,ALAARV,12
1,2015,2,APUAPU,8
1,2015,2,CAPCAP,1
1,2015,2,CARCHL,1
1,2015,2,CERBRA,1
1,2015,2,COLLIV,14
1,2015,2,COLPAL,4
1,2015,2,CORCOR,3
1,2015,2,CORRAX,1
1,2015,2,CUCCAN,13
1,2015,2,EMBCIR,3
1,2015,2,ERIRUB,8
1,2015,2,GARGLA,5
