annee,specialisation,indicateur
1989,generaliste,1
1990,generaliste,1.012
1991,generaliste,0.968
1992,generaliste,0.946
1993,generaliste,1.009
1994,generaliste,0.973
1995,generaliste,0.925
1996,generaliste,0.961
1997,generaliste,0.937
1998,generaliste,0.902
1999,generaliste,0.871
2000,generaliste,0.876
2001,generaliste,0.919
1989,specialiste,1
1990,specialiste,0.98643679
1991,specialiste,0.89072539
1992,specialiste,0.8697286
1993,specialiste,0.82762064
1994,specialiste,0.84343775
1995,specialiste,0.79384467
1996,specialiste,0.78760177
1997,specialiste,0.81047124
1998,specialiste,0.81493684
1999,specialiste,0.76494661
2000,specialiste,0.76639422
2001,specialiste,0.75455088
